key,0,1,2,3,4,5,6
162,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
163,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
164,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
165,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
166,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
167,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
168,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
169,"ui/icon/060000/060230.tex","신역","신역이 열리겠습니다","신역이 열리겠으며","신역이 열렸다가","신역이 열리겠으며","신역이 열리겠습니다"
170,"ui/icon/060000/060266.tex","사룡의 원념","사룡의 원념을 띠겠습니다","사룡의 원념을 띠겠으며","사룡의 원념을 띠었다가","사룡의 원념을 띠겠으며","사룡의 원념을 띠겠습니다"
171,"ui/icon/060000/060231.tex","허무","허무가 덮치겠습니다","허무가 덮치겠으며","허무가 덮쳤다가","허무가 덮치겠으며","허무가 덮치겠습니다"
172,"ui/icon/060000/060231.tex","허무","허무가 덮치겠습니다","허무가 덮치겠으며","허무가 덮쳤다가","허무가 덮치겠으며","허무가 덮치겠습니다"
173,"ui/icon/060000/060231.tex","허무","허무가 덮치겠습니다","허무가 덮치겠으며","허무가 덮쳤다가","허무가 덮치겠으며","허무가 덮치겠습니다"
174,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
175,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
176,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
177,"ui/icon/060000/060228.tex","마의 전당","마의 전당이 열리겠습니다","마의 전당이 열리겠으며","마의 전당이 열렸다가","마의 전당이 열리겠으며","마의 전당이 열리겠습니다"
178,"ui/icon/060000/060228.tex","마의 전당","마의 전당이 열리겠습니다","마의 전당이 열리겠으며","마의 전당이 열렸다가","마의 전당이 열리겠으며","마의 전당이 열리겠습니다"
179,"ui/icon/060000/060232.tex","시상","시상이 펼쳐지겠으며","시상이 펼쳐지겠으며","시상이 펼쳐졌다가","시상이 펼쳐지겠으며","시상이 펼쳐지겠습니다"
180,"ui/icon/060000/060231.tex","허무","허무가 덮치겠습니다","허무가 덮치겠으며","허무가 덮쳤다가","허무가 덮치겠으며","허무가 덮치겠습니다"
181,"ui/icon/060000/060233.tex","어두운 하늘","어두운 하늘이 펼쳐지겠습니다","어두운 하늘이 펼쳐지겠으며","어두운 하늘이 펼쳐졌다가","어두운 하늘이 펼쳐지겠으며","어두운 하늘이 펼쳐지겠습니다"
182,"ui/icon/060000/060233.tex","어두운 하늘","어두운 하늘이 펼쳐지겠습니다","어두운 하늘이 펼쳐지겠으며","어두운 하늘이 펼쳐졌다가","어두운 하늘이 펼쳐지겠으며","어두운 하늘이 펼쳐지겠습니다"
183,"ui/icon/060000/060234.tex","가상","가상이 펼쳐지겠습니다","가상이 펼쳐지겠으며","가상이 펼쳐졌다가","가상이 펼쳐지겠으며","가상이 펼쳐지겠습니다"
184,"ui/icon/060000/060234.tex","가상","가상이 펼쳐지겠습니다","가상이 펼쳐지겠으며","가상이 펼쳐졌다가","가상이 펼쳐지겠으며","가상이 펼쳐지겠습니다"
185,"ui/icon/060000/060234.tex","가상","가상이 펼쳐지겠습니다","가상이 펼쳐지겠으며","가상이 펼쳐졌다가","가상이 펼쳐지겠으며","가상이 펼쳐지겠습니다"
186,"ui/icon/060000/060234.tex","가상","가상이 펼쳐지겠습니다","가상이 펼쳐지겠으며","가상이 펼쳐졌다가","가상이 펼쳐지겠으며","가상이 펼쳐지겠습니다"
187,"ui/icon/060000/060235.tex","기억","기억이 떠오르겠습니다","기억이 떠오르겠으며","기억이 떠오르다가","기억이 떠오르겠으며","기억이 떠오르겠습니다"
188,"ui/icon/060000/060236.tex","암운","암운이 드리우겠습니다","암운이 드리우겠으며","암운이 드리우다가","암운이 드리우겠으며","암운이 드리우겠습니다"
189,"ui/icon/060000/060234.tex","가상","가상이 펼쳐지겠습니다","가상이 펼쳐지겠으며","가상이 펼쳐졌다가","가상이 펼쳐지겠으며","가상이 펼쳐지겠습니다"
190,"ui/icon/060000/060238.tex","환영","환영이 보이겠습니다","환영이 보이겠으며","환영이 보이다가","환영이 보이겠으며","환영이 보이겠습니다"
191,"ui/icon/060000/060239.tex","환시","환시 현상이 일어나겠습니다","환시 현상이 일어나겠으며","환시 현상이 일어났다가","환시 현상이 일어나겠으며","환시 현상이 일어나겠습니다"
192,"ui/icon/060000/060240.tex","신기루","신기루가 보이겠습니다","신기루가 보이겠으며","신기루가 보이다가","신기루가 보이겠으며","신기루가 보이겠습니다"
193,"ui/icon/060000/060237.tex","정전기먼지","정전기먼지가 일겠습니다","정전기먼지가 일겠으며","정전기먼지가 일었다가","정전기먼지가 일겠으며","정전기먼지가 일겠습니다"
194,"ui/icon/060000/060241.tex","유성","유성이 떨어지겠습니다","유성이 떨어지겠으며","유성이 떨어지다가","유성이 떨어지겠으며","유성이 떨어지겠습니다"
195,"ui/icon/060000/060241.tex","유성","유성이 떨어지겠습니다","유성이 떨어지겠으며","유성이 떨어지다가","유성이 떨어지겠으며","유성이 떨어지겠습니다"
196,"ui/icon/060000/060223.tex","자기 폭풍","자기 폭풍이 불겠습니다","자기 폭풍이 불겠으며","자기 폭풍이 불었다가","자기 폭풍이 불겠으며","자기 폭풍이 불겠습니다"
197,"ui/icon/060000/060242.tex","포자 안개","포자 안개가 끼겠습니다","포자 안개가 끼겠으며","포자 안개가 끼었다가","포자 안개가 끼겠으며","포자 안개가 끼겠습니다"
198,"ui/icon/060000/060243.tex","죽음의 기운","죽음의 기운이 감돌겠습니다","죽음의 기운이 감돌겠으며","죽음의 기운이 감돌다가","죽음의 기운이 감돌겠으며","죽음의 기운이 감돌겠습니다"
199,"ui/icon/060000/060243.tex","죽음의 기운","죽음의 기운이 감돌겠습니다","죽음의 기운이 감돌겠으며","죽음의 기운이 감돌다가","죽음의 기운이 감돌겠으며","죽음의 기운이 감돌겠습니다"
200,"ui/icon/060000/060243.tex","죽음의 기운","죽음의 기운이 감돌겠습니다","죽음의 기운이 감돌겠으며","죽음의 기운이 감돌다가","죽음의 기운이 감돌겠으며","죽음의 기운이 감돌겠습니다"
201,"ui/icon/060000/060244.tex","한랭 기류","한랭 기류가 유입되겠습니다","한랭 기류가 유입되겠으며","한랭 기류가 유입되었다가","한랭 기류가 유입되겠으며","한랭 기류가 유입되겠습니다"
202,"ui/icon/060000/060245.tex","유리비","유리비가 내리겠습니다","유리비가 내리겠으며","유리비가 내렸다가","유리비가 내리겠으며","유리비가 내리겠습니다"
203,"ui/icon/060000/060209.tex","번개","번개가 치겠습니다","번개가 치겠으며","번개가 쳤다가","번개가 치겠으며","번개가 치겠습니다"
204,"ui/icon/060000/060209.tex","번개","번개가 치겠습니다","번개가 치겠으며","번개가 쳤다가","번개가 치겠으며","번개가 치겠습니다"
205,"ui/icon/060000/060246.tex","난중력","난중력이 발생하겠습니다","난중력이 발생하겠으며","난중력이 발생했다가","난중력이 발생하겠으며","난중력이 발생하겠습니다"
206,"ui/icon/060000/060247.tex","물거품 폭풍","물거품 폭풍이 불겠습니다","물거품 폭풍이 불겠으며","물거품 폭풍이 불었다가","물거품 폭풍이 불겠으며","물거품 폭풍이 불겠습니다"
207,,"","","","","",""
208,,"","","","","",""
209,"ui/icon/060000/060201.tex","쾌청","쾌청하겠습니다","쾌청하겠으며","쾌청했다가","쾌청해지겠으며","쾌청해지겠습니다"
210,"ui/icon/060000/060208.tex","폭우","폭우가 쏟아지겠습니다","폭우가 쏟아지겠으며","폭우가 쏟아졌다가","폭우가 쏟아지겠으며","폭우가 쏟아지겠습니다"
211,,"","","","","",""
212,,"","","","","",""
213,,"","","","","",""
214,,"","","","","",""
